id,name,email,phone,address,hours,url,website,mission_statement,adoption,social_media,photos,distance,_links
IL608,Friends of Chicago Animal Care & Control,kbwilson60612@yahoo.com,(773) 743-9000,"{'address1': 'PO Box  4414', 'address2': None, 'city': 'Chicago', 'state': 'IL', 'postcode': '60680', 'country': 'US'}","{'monday': None, 'tuesday': None, 'wednesday': None, 'thursday': None, 'friday': None, 'saturday': None, 'sunday': None}",https://www.petfinder.com/member/us/il/chicago/friends-of-chicago-animal-care-and-control-il608/?referrer_id=a71466c4-bd24-41c3-9dc4-61144d250c56,http://www.fcacc.org,"The City of Chicago takes in thousands of unwanted animals every year from citizens, brings stray animals in off the...","{'policy': None, 'url': None}","{'facebook': None, 'twitter': None, 'youtube': None, 'instagram': None, 'pinterest': None}","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/30428/1/?bust=1497926605&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/30428/1/?bust=1497926605&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/30428/1/?bust=1497926605&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/30428/1/?bust=1497926605'}]",0.0053,"{'self': {'href': '/v2/organizations/il608'}, 'animals': {'href': '/v2/animals?organization=il608'}}"
IL628,Feline Friends Chicago,felinefriendsorg@gmail.com,,"{'address1': None, 'address2': None, 'city': 'Chicago', 'state': 'IL', 'postcode': '60680', 'country': 'US'}","{'monday': None, 'tuesday': None, 'wednesday': None, 'thursday': None, 'friday': None, 'saturday': None, 'sunday': None}",https://www.petfinder.com/member/us/il/chicago/feline-friends-chicago-il628/?referrer_id=a71466c4-bd24-41c3-9dc4-61144d250c56,http://felinefriendschicago.org,"To help alleviate the suffering of homeless pets in Illinois by rescuing, spaying/neutering, and responsibly placing as many animals as...","{'policy': None, 'url': None}","{'facebook': 'https://www.facebook.com/felinefriendschicago/', 'twitter': None, 'youtube': None, 'instagram': None, 'pinterest': None}",[],0.0053,"{'self': {'href': '/v2/organizations/il628'}, 'animals': {'href': '/v2/animals?organization=il628'}}"
IL895,"LEAD Rescue, NFP",leadadoptions@gmail.com,,"{'address1': None, 'address2': None, 'city': 'Chicago', 'state': 'IL', 'postcode': '60616', 'country': 'US'}","{'monday': None, 'tuesday': None, 'wednesday': None, 'thursday': None, 'friday': None, 'saturday': None, 'sunday': None}",https://www.petfinder.com/member/us/il/chicago/lead-rescue-nfp-il895/?referrer_id=a71466c4-bd24-41c3-9dc4-61144d250c56,http://www.leadrescue.org,"Lead Rescue is here to rescue dogs and place them in foster homes, until a suitable adopter comes our way!...","{'policy': 'Please apply on our adoption application on our website at www.leadrescue.org\r\n\r\nWe must receive and review an application before a...', 'url': 'http://www.leadrescue.org'}","{'facebook': 'http://www.facebook.com/leadrescue', 'twitter': None, 'youtube': 'https://www.youtube.com/channel/UCVmfi7pqisjJqJt92rWkGTA', 'instagram': 'http://www.instagram.com/lead_rescue', 'pinterest': None}","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/48078/1/?bust=1517862490&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/48078/1/?bust=1517862490&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/48078/1/?bust=1517862490&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/48078/1/?bust=1517862490'}]",1.564,"{'self': {'href': '/v2/organizations/il895'}, 'animals': {'href': '/v2/animals?organization=il895'}}"
IL993,Kitty Empire,castleblackpaw@gmail.com,,"{'address1': None, 'address2': None, 'city': 'Chicago', 'state': 'IL', 'postcode': '60608', 'country': 'US'}","{'monday': None, 'tuesday': None, 'wednesday': None, 'thursday': None, 'friday': None, 'saturday': None, 'sunday': None}",https://www.petfinder.com/member/us/il/chicago/kitty-empire-il993/?referrer_id=a71466c4-bd24-41c3-9dc4-61144d250c56,,"Kitty Empire&#039;s mission is to reduce the number of free-roaming cats on the streets of Chicago and improve their lives,...","{'policy': 'Prospective adopters may reach out via email or phone. They will fill out an application and receive a follow-up call...', 'url': None}","{'facebook': None, 'twitter': None, 'youtube': None, 'instagram': None, 'pinterest': None}",[],1.7641,"{'self': {'href': '/v2/organizations/il993'}, 'animals': {'href': '/v2/animals?organization=il993'}}"
IL880,Mission Compassion Paw Rescue,info@mcprescue.org,,"{'address1': None, 'address2': None, 'city': 'Chicago', 'state': 'IL', 'postcode': '60607', 'country': 'US'}","{'monday': None, 'tuesday': None, 'wednesday': None, 'thursday': None, 'friday': None, 'saturday': None, 'sunday': None}",https://www.petfinder.com/member/us/il/chicago/mission-compassion-paw-rescue-il880/?referrer_id=a71466c4-bd24-41c3-9dc4-61144d250c56,http://www.mcprescue.org,"Please check out our facebook page for the latest rescue news! -  http://facebook.com/MCPRescue


Mission Compassion Paw (MCP) is a nonprofit...","{'policy': 'We are located in Chicago and serve the Chicagoland area. We focus on dogs at the highest risk - &quot;pit...', 'url': 'http://mcprescue.org/adoption-application'}","{'facebook': 'http://facebook.com/mcprescue', 'twitter': None, 'youtube': None, 'instagram': None, 'pinterest': None}","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/47609/2/?bust=1512004119&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/47609/2/?bust=1512004119&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/47609/2/?bust=1512004119&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/47609/2/?bust=1512004119'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/47609/1/?bust=1501517767&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/47609/1/?bust=1501517767&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/47609/1/?bust=1501517767&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/47609/1/?bust=1501517767'}]",2.5958,"{'self': {'href': '/v2/organizations/il880'}, 'animals': {'href': '/v2/animals?organization=il880'}}"
IL957,CAT CARE AND RESCUE INC,Catcareandrescueinc@gmail.com,,"{'address1': None, 'address2': None, 'city': 'Chicago', 'state': 'IL', 'postcode': '60607', 'country': 'US'}","{'monday': None, 'tuesday': None, 'wednesday': None, 'thursday': None, 'friday': None, 'saturday': None, 'sunday': None}",https://www.petfinder.com/member/us/il/chicago/cat-care-and-rescue-inc-il957/?referrer_id=a71466c4-bd24-41c3-9dc4-61144d250c56,,"* NO KILL Foster Based RESCUE
* Provide compassionate care for any animal in need
* Attempt to find a...","{'policy': 'Must be employed, or have a verifiable source of income.\r\n\r\nOver 24 years old. Parental co-adopters allowed.\r\n\r\nMust have “size...', 'url': 'https://petstablished.com/adoption_form/26007/generic'}","{'facebook': None, 'twitter': None, 'youtube': None, 'instagram': None, 'pinterest': None}","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/1/?bust=1608494258&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/1/?bust=1608494258&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/1/?bust=1608494258&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/1/?bust=1608494258'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/2/?bust=1605483964&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/2/?bust=1605483964&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/2/?bust=1605483964&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/2/?bust=1605483964'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/5/?bust=1605484258&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/5/?bust=1605484258&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/5/?bust=1605484258&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/5/?bust=1605484258'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/3/?bust=1608494259&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/3/?bust=1608494259&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/3/?bust=1608494259&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/3/?bust=1608494259'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/6/?bust=1608494297&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/6/?bust=1608494297&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/6/?bust=1608494297&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/50407/6/?bust=1608494297'}]",2.5958,"{'self': {'href': '/v2/organizations/il957'}, 'animals': {'href': '/v2/animals?organization=il957'}}"
IL132,Chicago Animal Care and Control,caccadoptables@gmail.com,(312) 747-1406,"{'address1': '2741 S. Western Ave.', 'address2': None, 'city': 'Chicago', 'state': 'IL', 'postcode': '60608', 'country': 'US'}","{'monday': '12pm - 6pm', 'tuesday': '12pm - 6pm', 'wednesday': '12pm - 6pm', 'thursday': '12pm - 6pm', 'friday': '12pm - 6pm', 'saturday': '12pm - 6pm', 'sunday': '12pm - 6pm'}",https://www.petfinder.com/member/us/il/chicago/chicago-animal-care-and-control-il132/?referrer_id=a71466c4-bd24-41c3-9dc4-61144d250c56,https://www.cityofchicago.org/city/en/depts/cacc.html,"Chicago Animal Care and Control (CACC) is committed to ensuring the humane care of animals through sheltering, pet placement, education,...","{'policy': 'Adoption information can be viewed here:  \n\nhttps://www.chicago.gov/city/en/depts/cacc/provdrs/care/svcs/adoption.html', 'url': None}","{'facebook': 'https://www.facebook.com/CACCadoptables/', 'twitter': None, 'youtube': 'https://www.youtube.com/c/CACCDogs', 'instagram': 'https://www.instagram.com/cacc_adoptable_pets/', 'pinterest': None}","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/30076/1/?bust=1521479845&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/30076/1/?bust=1521479845&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/30076/1/?bust=1521479845&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/30076/1/?bust=1521479845'}]",2.9648,"{'self': {'href': '/v2/organizations/il132'}, 'animals': {'href': '/v2/animals?organization=il132'}}"
IL273,German Shepherd Rescue Inc.,GSRescue1@comcast.net,,"{'address1': None, 'address2': None, 'city': 'Chicago', 'state': 'IL', 'postcode': '60606', 'country': 'US'}","{'monday': None, 'tuesday': None, 'wednesday': None, 'thursday': None, 'friday': None, 'saturday': None, 'sunday': None}",https://www.petfinder.com/member/us/il/chicago/german-shepherd-rescue-inc-il273/?referrer_id=a71466c4-bd24-41c3-9dc4-61144d250c56,http://www.gsrescue1.org,"German Shepherd Rescue, Inc. is a growing group of volunteers committed to creating a second chance for German Shepherd dogs...","{'policy': 'The application is the first step in the adoption process and we will notify you that it has been received...', 'url': None}","{'facebook': 'http://www.facebook.com/GSRinc', 'twitter': None, 'youtube': None, 'instagram': 'https://instagram.com/gsrinc?igshid=8exkgesmh5q8', 'pinterest': None}","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/30179/1/?bust=1511946343&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/30179/1/?bust=1511946343&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/30179/1/?bust=1511946343&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/30179/1/?bust=1511946343'}]",3.8209,"{'self': {'href': '/v2/organizations/il273'}, 'animals': {'href': '/v2/animals?organization=il273'}}"
IL954,Family Furst,cheri@familyfurst.org,(312) 685-8190,"{'address1': None, 'address2': None, 'city': 'Chicago', 'state': 'IL', 'postcode': '60609', 'country': 'US'}","{'monday': None, 'tuesday': None, 'wednesday': None, 'thursday': None, 'friday': None, 'saturday': None, 'sunday': None}",https://www.petfinder.com/member/us/il/chicago/family-furst-il954/?referrer_id=a71466c4-bd24-41c3-9dc4-61144d250c56,https://Familyfurst.org,We provide a safe place where the neediest animals can be taken care of and loved until they find a...,"{'policy': None, 'url': None}","{'facebook': 'https://www.facebook.com/familyFURst23/', 'twitter': None, 'youtube': None, 'instagram': 'https://www.instagram.com/family.furst/', 'pinterest': None}",[],4.3396,"{'self': {'href': '/v2/organizations/il954'}, 'animals': {'href': '/v2/animals?organization=il954'}}"
IL484,Shiba Inu Rescue Association,outreachsirashibas@gmail.com,,"{'address1': None, 'address2': None, 'city': 'Chicago', 'state': 'IL', 'postcode': '60601', 'country': 'US'}","{'monday': None, 'tuesday': None, 'wednesday': None, 'thursday': None, 'friday': None, 'saturday': None, 'sunday': None}",https://www.petfinder.com/member/us/il/chicago/shiba-inu-rescue-association-il484/?referrer_id=a71466c4-bd24-41c3-9dc4-61144d250c56,http://www.savingshibas.com,Shiba Inu Rescue Association (SIRA) is a dog rescue group that serves the midwest U.S. states. We are dedicated to...,"{'policy': 'So you&#039;ve seen the beautiful, headstrong breed known as the Shiba Inu. You&#039;ve researched the breed&#039;s characteristics and examined your...', 'url': 'http://www.savingshibas.com/adopt'}","{'facebook': 'https://www.facebook.com/shibainurescueassociation/', 'twitter': None, 'youtube': None, 'instagram': None, 'pinterest': None}","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/1/?bust=1556050303&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/1/?bust=1556050303&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/1/?bust=1556050303&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/1/?bust=1556050303'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/2/?bust=1556050303&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/2/?bust=1556050303&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/2/?bust=1556050303&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/2/?bust=1556050303'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/3/?bust=1556050304&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/3/?bust=1556050304&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/3/?bust=1556050304&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/3/?bust=1556050304'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/4/?bust=1556050304&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/4/?bust=1556050304&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/4/?bust=1556050304&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/4/?bust=1556050304'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/5/?bust=1556050305&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/5/?bust=1556050305&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/5/?bust=1556050305&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/5/?bust=1556050305'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/6/?bust=1556050305&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/6/?bust=1556050305&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/6/?bust=1556050305&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/21562/6/?bust=1556050305'}]",4.4318,"{'self': {'href': '/v2/organizations/il484'}, 'animals': {'href': '/v2/animals?organization=il484'}}"
